"mailgrp" "appeal" "ward" "voted98" "mailings"
"425" 1 1 18 1 3
"426" 1 1 14 1 3
"428" 1 3 24 1 1
"429" 1 2 10 1 2
"431" 1 1 26 0 2
"432" 1 2 17 0 1
"434" 1 2 23 0 3
"435" 1 1 20 0 1
"436" 1 3 6 0 2
"437" 1 1 26 1 1
"438" 1 1 9 0 3
"439" 1 3 25 1 2
"440" 1 1 2 0 3
"442" 1 3 25 1 2
"443" 1 1 24 0 2
"445" 1 2 12 0 3
"448" 1 2 23 0 1
"450" 1 3 17 1 3
"451" 1 1 18 1 3
"452" 1 3 16 0 1
"453" 1 2 19 1 3
"454" 1 3 25 1 3
"456" 1 3 25 1 2
"457" 1 2 15 1 3
"458" 1 1 29 1 3
"460" 1 3 25 1 3
"461" 1 2 25 1 1
"465" 1 2 29 1 2
"468" 1 2 2 0 3
"469" 1 1 9 0 1
"471" 1 2 21 0 3
"474" 1 2 18 0 3
"475" 1 2 20 1 1
"478" 1 2 3 0 2
"479" 1 1 14 1 3
"480" 1 1 6 0 1
"481" 1 2 6 0 2
"483" 1 1 17 0 3
"486" 1 1 10 1 1
"488" 1 1 19 0 3
"489" 1 1 28 1 3
"491" 1 3 17 1 3
"492" 1 1 25 1 3
"494" 1 2 2 1 1
"496" 1 1 24 1 3
"497" 1 1 27 0 1
"498" 1 2 28 1 2
"499" 1 2 26 1 2
"500" 1 3 26 0 1
"504" 1 2 30 0 2
"505" 1 3 18 1 2
"506" 1 2 10 1 2
"508" 1 2 22 0 1
"509" 1 3 4 1 2
"510" 1 1 19 1 1
"511" 1 1 15 0 3
"512" 1 3 11 0 1
"513" 1 1 21 0 1
"515" 1 2 19 1 1
"516" 1 3 17 1 3
"518" 1 1 2 0 1
"519" 1 2 19 1 1
"520" 1 1 19 1 1
"521" 1 3 8 0 3
"523" 1 2 10 0 2
"526" 1 3 22 0 1
"527" 1 1 2 1 2
"528" 1 2 2 1 3
"529" 1 2 20 1 1
"530" 1 1 15 0 1
"531" 1 2 23 0 3
"532" 1 1 9 0 3
"533" 1 3 17 0 2
"534" 1 1 15 0 1
"535" 1 1 8 1 2
"536" 1 2 18 1 1
"538" 1 1 13 0 3
"539" 1 2 18 0 3
"542" 1 2 5 0 2
"543" 1 2 9 1 3
"544" 1 3 26 1 1
"545" 1 3 27 0 3
"546" 1 1 19 0 3
"547" 1 2 6 0 1
"548" 1 2 8 1 1
"549" 1 1 6 1 2
"551" 1 3 20 0 2
"552" 1 3 9 0 2
"553" 1 2 18 0 1
"554" 1 2 11 0 2
"555" 1 3 26 0 2
"556" 1 3 14 0 1
"557" 1 1 2 0 2
"558" 1 2 22 1 3
"560" 1 1 11 1 3
"561" 1 1 6 1 3
"563" 1 3 10 0 3
"564" 1 2 26 1 2
"565" 1 1 20 1 2
"567" 1 1 15 0 3
"568" 1 1 25 1 1
"569" 1 1 7 0 3
"570" 1 2 13 0 2
"571" 1 3 3 0 3
"572" 1 3 16 0 1
"574" 1 3 19 0 2
"575" 1 1 19 0 2
"579" 1 2 19 1 1
"580" 1 3 14 0 3
"581" 1 1 8 0 2
"582" 1 3 13 0 1
"583" 1 1 13 1 3
"586" 1 1 6 1 3
"587" 1 3 8 1 2
"588" 1 2 10 1 2
"590" 1 1 17 1 3
"591" 1 1 2 0 1
"592" 1 1 9 0 2
"594" 1 1 16 1 2
"595" 1 3 14 1 1
"596" 1 3 11 1 1
"598" 1 2 21 1 1
"599" 1 1 22 1 3
"600" 1 2 20 0 3
"602" 1 2 18 0 2
"603" 1 2 25 0 1
"605" 1 2 26 0 1
"608" 1 2 17 0 2
"609" 1 3 17 1 2
"610" 1 3 8 0 2
"611" 1 2 13 1 1
"612" 1 1 26 0 2
"614" 1 3 7 0 1
"615" 1 3 6 0 1
"616" 1 2 9 0 3
"617" 1 2 27 1 2
"618" 1 1 13 0 2
"619" 1 3 8 0 3
"620" 1 3 24 0 1
"621" 1 1 3 1 3
"622" 1 1 3 1 3
"623" 1 1 29 1 1
"626" 1 1 6 0 2
"628" 1 1 9 0 1
"629" 1 2 11 1 1
"630" 1 2 30 0 1
"631" 1 3 25 0 3
"633" 1 3 14 0 3
"634" 1 1 5 1 1
"636" 1 3 10 1 2
"637" 1 1 5 1 3
"639" 1 3 13 1 3
"640" 1 3 9 1 1
"643" 1 1 18 1 2
"644" 1 2 11 1 1
"645" 1 2 28 1 3
"646" 1 2 27 1 1
"648" 1 3 23 0 1
"649" 1 2 23 0 3
"650" 1 2 21 0 3
"651" 1 1 20 1 2
"654" 1 3 26 1 2
"655" 1 2 28 1 1
"657" 1 3 25 1 3
"661" 1 3 21 1 3
"662" 1 1 6 0 2
"663" 1 2 25 1 3
"665" 1 1 25 1 3
"666" 1 3 13 1 2
"668" 1 3 14 1 1
"669" 1 3 2 1 2
"673" 1 1 10 0 3
"674" 1 1 30 0 1
"675" 1 3 18 0 3
"676" 1 2 12 1 2
"677" 1 1 11 0 1
"679" 1 2 21 1 2
"680" 1 3 10 1 3
"681" 1 2 14 0 1
"682" 1 2 27 1 1
"685" 1 3 28 0 1
"686" 1 1 2 1 1
"687" 1 2 29 0 3
"689" 1 3 21 0 3
"690" 1 2 8 1 1
"691" 1 2 17 1 1
"693" 1 1 30 0 1
"694" 1 1 25 0 1
"695" 1 3 30 0 1
"696" 1 1 5 0 2
"697" 1 2 5 1 1
"698" 1 3 20 1 3
"700" 1 2 18 0 2
"701" 1 1 30 0 2
"702" 1 3 12 0 3
"703" 1 2 9 0 2
"704" 1 2 21 1 2
"705" 1 2 21 1 3
"706" 1 2 11 1 1
"708" 1 1 30 1 3
"710" 1 1 30 1 3
"711" 1 1 24 0 1
"712" 1 2 2 1 3
"715" 1 2 30 0 2
"717" 1 3 26 1 2
"718" 1 3 10 1 2
"719" 1 3 24 0 3
"720" 1 2 17 0 3
"721" 1 3 9 0 3
"722" 1 1 18 1 3
"726" 1 3 18 0 2
"728" 1 3 21 1 3
"730" 1 2 26 1 2
"733" 1 2 2 1 3
"736" 1 1 18 0 1
"737" 1 2 28 1 2
"739" 1 3 9 0 2
"740" 1 1 23 0 1
"742" 1 1 18 0 2
"743" 1 2 17 1 1
"745" 1 1 7 0 3
"746" 1 2 18 1 3
"747" 1 1 9 0 1
"748" 1 2 19 1 2
"750" 1 2 19 1 1
"751" 1 1 13 1 3
"752" 1 2 28 1 3
"753" 1 1 2 0 2
"756" 1 1 9 1 3
"757" 1 1 13 0 2
"758" 1 1 29 0 1
"759" 1 3 18 0 2
"760" 1 3 26 1 2
"764" 1 1 6 0 1
"765" 1 2 11 1 2
"766" 1 2 13 1 1
"767" 1 3 21 1 3
"768" 1 2 23 1 1
"772" 1 1 30 1 3
"773" 1 1 26 1 3
"774" 1 2 12 0 2
"775" 1 1 20 0 1
"776" 1 3 26 1 1
"777" 1 3 11 0 2
"779" 1 3 24 1 2
"780" 1 3 18 1 1
"782" 1 1 29 0 1
"783" 1 3 6 0 2
"784" 1 3 19 1 3
"785" 1 3 23 0 2
"786" 1 3 12 0 1
"787" 1 3 13 1 2
"791" 1 3 12 1 1
"794" 1 3 17 1 2
"795" 1 3 6 0 2
"797" 1 2 3 0 2
"799" 1 2 12 1 1
"801" 1 3 20 1 3
"803" 1 1 12 1 1
"804" 1 2 16 0 2
"805" 1 1 26 1 1
"807" 1 1 18 0 1
"808" 1 2 17 0 1
"809" 1 3 6 0 3
"810" 1 1 25 1 3
"811" 1 2 11 1 3
"812" 1 3 23 0 3
"813" 1 2 25 1 1
"814" 1 3 3 0 1
"815" 1 1 12 1 3
"816" 1 1 17 0 3
"817" 1 3 7 1 2
"819" 1 3 13 1 1
"820" 1 1 27 1 3
"821" 1 2 15 0 2
"825" 1 1 12 0 2
"827" 1 3 26 0 3
"828" 1 3 10 1 2
"829" 1 3 19 1 2
"830" 1 1 24 1 1
"831" 1 1 26 1 3
"833" 1 1 6 0 1
"835" 1 2 18 1 2
"836" 1 3 17 0 1
"837" 1 2 29 0 2
"838" 1 2 18 1 1
"839" 1 1 11 1 3
"840" 1 1 11 1 3
"841" 1 3 26 0 2
"842" 1 1 26 0 3
"843" 1 2 30 0 2
"845" 1 2 18 0 2
"847" 1 3 27 1 3
"849" 1 2 4 0 1
"851" 1 2 13 1 2
"852" 1 1 7 1 2
"853" 1 3 27 1 3
"854" 1 3 18 1 1
"858" 1 3 13 0 3
"859" 1 2 30 1 3
"861" 1 1 22 0 3
"864" 1 1 6 0 1
"865" 1 3 19 0 3
"866" 1 3 27 0 2
"867" 1 3 17 0 1
"869" 1 3 8 1 3
"871" 1 2 21 1 3
"872" 1 1 20 0 2
"873" 1 3 26 0 1
"876" 1 3 29 1 2
"878" 1 1 19 0 1
"879" 1 3 14 1 3
"880" 1 3 25 0 3
"881" 1 2 14 1 3
"882" 1 1 11 1 3
"884" 1 2 22 1 1
"885" 1 2 21 1 3
"886" 1 2 18 0 1
"887" 1 2 16 0 3
"888" 1 3 19 1 3
"890" 1 2 20 0 3
"891" 1 2 18 1 3
"892" 1 3 12 0 2
"893" 1 1 10 1 1
"894" 1 3 18 0 3
"895" 1 1 22 1 2
"896" 1 2 5 0 2
"897" 1 2 10 0 1
"899" 1 3 15 1 3
"900" 1 3 18 0 2
"901" 1 2 17 1 2
"902" 1 3 12 0 2
"903" 1 3 26 0 2
"904" 1 2 3 0 2
"905" 1 1 17 1 2
"906" 1 1 8 0 2
"907" 1 1 13 1 1
"909" 1 2 26 1 3
"910" 1 1 13 1 3
"911" 1 2 4 1 2
"912" 1 3 12 1 1
"913" 1 1 17 1 3
"914" 1 2 13 1 1
"918" 1 3 29 0 2
"920" 1 3 18 0 2
"923" 1 1 9 1 2
"924" 1 3 26 1 1
"925" 1 1 9 1 2
"927" 1 2 18 1 3
"929" 1 2 18 0 2
"931" 1 1 17 0 3
"934" 1 2 18 0 1
"936" 1 2 4 0 2
"937" 1 3 4 0 1
"938" 1 3 25 1 3
"939" 1 2 13 0 3
"940" 1 1 15 0 2
"941" 1 2 24 0 2
"942" 1 3 17 1 1
"943" 1 2 10 1 2
"944" 1 2 21 0 1
"946" 1 2 7 0 3
"947" 1 1 15 0 2
"948" 1 3 28 1 2
"949" 1 3 12 1 1
"950" 1 1 13 1 1
"951" 1 2 30 0 1
"952" 1 1 24 1 3
"954" 1 2 17 0 3
"956" 1 3 18 0 2
"957" 1 1 11 1 2
"958" 1 3 24 0 3
"959" 1 2 18 1 1
"960" 1 2 17 0 3
"961" 1 3 12 1 2
"963" 1 1 14 0 1
"964" 1 3 16 0 1
"965" 1 2 12 0 1
"966" 1 2 9 0 2
"967" 1 1 28 0 1
"968" 1 2 12 1 1
"969" 1 2 8 0 3
"972" 1 3 27 0 1
"973" 1 3 14 1 3
"974" 1 2 11 0 3
"976" 1 1 18 0 2
"977" 1 1 9 1 1
"978" 1 2 23 0 3
"979" 1 3 8 1 3
"980" 1 1 6 0 1
"982" 1 1 13 0 1
"983" 1 3 19 0 2
"984" 1 1 18 1 1
"985" 1 1 5 1 3
"986" 1 1 26 1 3
"988" 1 1 27 1 3
"989" 1 2 14 1 2
"991" 1 3 3 1 3
"992" 1 3 9 0 3
"994" 1 3 19 0 2
"995" 1 2 11 0 2
"997" 1 2 20 0 3
"998" 1 1 24 1 1
"1000" 1 2 2 0 1
"1001" 1 1 6 0 3
"1002" 1 1 5 0 2
"1003" 1 3 5 0 2
"1004" 1 3 15 0 3
"1005" 1 1 10 1 1
"1007" 1 3 13 0 1
"1008" 1 1 21 0 1
"1009" 1 3 12 1 3
"1010" 1 1 30 0 3
"1011" 1 2 26 0 3
"1012" 1 1 27 0 1
"1013" 1 3 3 0 3
"1014" 1 3 8 0 3
"1015" 1 1 14 1 1
"1016" 1 2 25 1 3
"1017" 1 3 17 1 3
"1018" 1 1 4 0 3
"1019" 1 1 23 0 2
"1020" 1 3 5 1 3
"1021" 1 3 26 1 2
"1022" 1 2 25 0 3
"1023" 1 3 14 0 1
"1024" 1 3 16 1 2
"1026" 1 2 13 0 1
"1027" 1 2 17 1 3
"1028" 1 1 13 1 3
"1029" 1 3 5 0 1
"1030" 1 2 16 0 2
"1031" 1 2 24 1 3
"1032" 1 2 8 0 3
"1034" 1 1 15 0 1
"1035" 1 1 29 0 3
"1036" 1 3 18 1 3
"1037" 1 2 4 1 3
"1038" 1 3 22 0 3
"1039" 1 3 28 0 2
"1040" 1 1 4 0 3
"1041" 1 3 19 1 2
"1043" 1 3 13 0 2
"1045" 1 3 27 1 2
"1046" 1 2 17 1 2
"1047" 1 3 17 0 2
"1049" 1 1 12 0 1
"1052" 1 1 7 0 2
"1053" 1 3 20 1 2
"1054" 1 3 14 0 1
"1055" 1 1 14 0 3
"1056" 1 3 12 0 3
"1057" 1 3 22 1 1
"1059" 1 2 10 1 2
"1060" 1 3 24 0 2
"1061" 1 3 18 1 2
"1063" 1 3 25 1 2
"1064" 1 3 12 1 1
"1065" 1 2 25 1 3
"1066" 1 3 4 0 3
"1069" 1 3 19 1 2
"1070" 1 2 26 1 2
"1071" 1 2 10 1 3
"1072" 1 1 10 0 2
"1073" 1 1 26 1 3
"1074" 1 2 8 1 3
"1075" 1 2 24 0 3
"1076" 1 3 13 1 1
"1077" 1 3 26 0 3
"1078" 1 2 12 0 1
"1079" 1 1 26 0 2
"1080" 1 2 26 1 2
"1081" 1 1 19 0 2
"1082" 1 1 14 1 2
"1083" 1 1 16 0 3
"1085" 1 1 3 1 1
"1086" 1 1 24 1 1
"1087" 1 1 22 0 1
"1088" 1 3 17 1 1
"1092" 1 2 29 0 1
"1093" 1 3 28 1 1
"1094" 1 1 2 1 2
"1095" 1 2 5 0 2
"1096" 1 2 30 1 2
"1097" 1 3 26 1 1
"1099" 1 3 4 0 2
"1100" 1 2 20 1 1
"1101" 1 1 20 0 1
"1102" 1 2 13 1 1
"1103" 1 3 23 0 1
"1105" 1 2 4 1 1
"1106" 1 3 26 1 3
"1107" 1 3 10 1 3
"1108" 1 2 6 0 1
"1110" 1 1 3 0 2
"1112" 1 1 25 1 1
"1113" 1 2 25 1 2
"1114" 1 2 26 0 1
"1117" 1 2 26 1 2
"1118" 1 3 24 0 1
"1119" 1 2 24 1 1
"1121" 1 3 26 1 3
"1122" 1 3 19 0 3
"1123" 1 1 5 0 1
"1124" 1 1 26 1 1
"1125" 1 2 23 0 2
"1126" 1 3 13 0 1
"1127" 1 3 25 1 3
"1129" 1 2 21 0 3
"1131" 1 3 4 1 3
"1133" 1 2 23 1 1
"1135" 1 1 16 0 1
"1136" 1 3 13 1 2
"1137" 1 3 8 1 3
"1138" 1 1 5 0 1
"1139" 1 1 12 0 3
"1140" 1 2 20 0 3
"1142" 1 1 4 1 3
"1143" 1 3 4 1 3
"1144" 1 2 25 1 3
"1147" 1 3 6 0 1
"1148" 1 1 25 0 1
"1149" 1 1 12 0 2
"1150" 1 3 15 1 1
"1151" 1 1 25 0 1
"1154" 1 1 11 1 2
"1155" 1 2 17 1 2
"1157" 1 3 30 1 3
"1158" 1 1 25 0 3
"1159" 1 3 24 1 2
"1161" 1 3 25 1 1
"1163" 1 3 24 1 1
"1167" 1 1 17 1 2
"1168" 1 3 13 1 1
"1171" 1 3 17 1 2
"1173" 1 2 26 1 1
"1174" 1 1 6 1 1
"1175" 1 2 25 1 1
"1176" 1 2 28 1 2
"1177" 1 2 18 0 2
"1178" 1 3 29 0 2
"1179" 1 2 15 1 3
"1180" 1 2 22 0 3
"1182" 1 1 25 1 2
"1183" 1 1 28 1 2
"1184" 1 1 25 1 3
"1185" 1 2 19 1 2
"1186" 1 2 26 1 2
"1187" 1 2 2 0 1
"1188" 1 1 21 1 2
"1190" 1 3 27 1 2
"1191" 1 3 27 1 1
"1193" 1 2 14 1 3
"1195" 1 1 16 0 2
"1198" 1 1 29 1 2
"1199" 1 1 8 0 3
"1200" 1 3 19 1 1
"1204" 1 3 25 1 1
"1205" 1 3 25 1 2
"1209" 1 1 12 0 3
"1210" 1 3 28 1 1
"1808" 1 3 7 0 2
"1811" 1 3 11 1 2
"1812" 1 3 17 1 2
"1813" 1 2 17 1 3
"1814" 0 1 11 1 0
"1815" 0 1 28 1 0
"1816" 0 2 18 1 0
"1817" 1 2 28 1 1
"1818" 0 2 3 1 0
"1819" 0 1 10 1 0
"1821" 1 3 26 1 1
"1822" 1 1 29 1 3
"1823" 1 2 25 0 2
"1824" 0 3 12 0 0
"1825" 0 3 28 1 0
"1826" 0 1 13 1 0
"1828" 1 2 17 0 2
"1830" 0 3 17 1 0
"1832" 0 1 27 0 0
"1835" 1 2 19 0 1
"1836" 1 2 14 0 2
"1837" 1 3 16 1 1
"1838" 0 1 10 1 0
"1839" 0 3 21 0 0
"1840" 0 1 5 1 0
"1841" 1 3 6 1 3
"1842" 1 1 5 1 1
"1843" 1 3 2 1 1
"1844" 0 2 30 1 0
"1845" 0 2 20 1 0
"1846" 0 1 20 0 0
"1847" 1 3 20 1 1
"1848" 1 3 22 1 1
"1849" 0 3 16 0 0
"1850" 1 1 9 0 2
"1851" 0 1 27 1 0
"1852" 1 2 26 1 1
"1853" 1 2 15 1 3
"1854" 1 1 12 0 1
"1855" 0 1 18 1 0
"1856" 0 2 27 0 0
"1857" 0 1 5 0 0
"1858" 0 2 2 0 0
"1859" 0 1 18 0 0
"1860" 0 2 9 1 0
"1861" 1 1 27 0 2
"1862" 0 3 15 0 0
"1863" 0 2 19 1 0
"1866" 0 1 13 1 0
"1867" 0 1 18 1 0
"1868" 1 1 7 1 2
"1869" 0 2 23 0 0
"1870" 0 3 25 0 0
"1871" 1 1 16 0 2
"1872" 1 2 15 0 3
"1873" 1 3 14 1 3
"1875" 1 3 26 0 2
"1876" 1 2 29 1 2
"1877" 1 3 18 0 3
"1878" 1 2 14 0 2
"1879" 0 2 17 1 0
"1880" 0 2 22 1 0
"1881" 1 2 17 0 2
"1882" 0 3 26 1 0
"1883" 1 2 26 1 2
"1884" 1 2 25 0 1
"1886" 1 3 24 0 3
"1887" 0 2 19 1 0
"1888" 0 1 12 0 0
"1889" 1 3 13 1 2
"1890" 0 3 8 0 0
"1891" 0 1 28 0 0
"1892" 0 2 25 0 0
"1894" 0 3 13 0 0
"1895" 0 1 10 1 0
"1896" 1 1 24 0 1
"1897" 0 1 30 0 0
"1898" 1 3 22 0 3
"1899" 0 3 11 1 0
"1900" 0 2 30 1 0
"1901" 0 2 30 0 0
"1903" 0 3 30 0 0
"1905" 1 3 6 1 1
"1907" 0 2 23 1 0
"1908" 1 3 9 1 1
"1909" 1 2 22 0 2
"1911" 0 3 20 1 0
"1912" 0 3 6 0 0
"1914" 1 3 25 0 3
"1915" 1 1 25 0 1
"1917" 0 2 27 0 0
"1918" 0 1 27 0 0
"1919" 1 1 30 1 2
"1920" 1 2 3 1 1
"1922" 0 3 18 1 0
"1923" 0 1 26 0 0
"1924" 1 1 10 1 1
"1925" 0 2 15 0 0
"1926" 1 1 13 0 2
"1928" 1 1 26 1 3
"1929" 1 3 5 0 1
"1931" 1 1 6 1 1
