"persons" "ward" "question" "mailgrp" "phonegrp" "persngrp" "appeal" "contact" "mailings" "age" "majorpty" "vote96.0" "vote96.1" "mailcall" "voted98" "phnscrpt" "dis.mc" "dis.phn" "phn.c" "phntrt1" "phntrt2" "phn.c1" "phn.c2"
"30" 2 9 0 1 0 1 2 1 2 43 0 1 0 1 0 4 99 99 0 1 1 0 0
"31" 2 18 0 1 0 1 1 0 1 39 1 1 0 1 0 2 99 99 0 1 1 0 0
"32" 2 24 0 1 0 0 3 0 1 80 1 1 0 1 0 6 1 99 1 1 1 1 1
"33" 2 11 0 1 1 0 3 0 1 31 0 1 0 1 0 6 0 99 0 1 1 0 0
"34" 2 10 0 1 0 0 3 0 1 54 1 0 1 1 0 6 99 99 0 1 1 0 0
"35" 2 28 0 1 1 1 2 0 3 52 1 0 1 1 0 5 99 99 0 1 1 0 0
"36" 2 15 0 1 0 0 3 0 1 20 1 0 0 1 0 6 0 99 0 1 1 0 0
"37" 2 12 0 1 0 0 3 0 1 60 0 0 0 1 1 6 1 99 1 1 1 1 1
"38" 2 27 0 1 0 0 1 0 2 78 1 1 0 1 0 2 1 99 1 1 1 1 1
"39" 2 12 0 1 0 0 1 0 3 40 1 0 1 1 1 2 99 99 0 1 1 0 0
"40" 2 29 0 1 0 0 2 0 1 69 1 0 0 1 0 4 99 99 0 1 1 0 0
"41" 2 27 0 1 0 0 3 0 1 41 1 0 1 1 1 6 1 99 1 1 1 1 1
"42" 2 12 0 1 1 0 1 0 2 55 1 0 1 1 1 3 99 0 0 0 1 0 0
"43" 2 18 0 1 0 0 3 0 3 56 1 0 1 1 0 6 1 99 1 1 1 1 1
"44" 2 26 0 1 0 0 3 0 3 82 0 0 1 1 1 6 1 99 1 1 1 1 1
"45" 2 17 0 1 0 0 1 0 1 83 0 0 1 1 1 2 1 99 1 1 1 1 1
"46" 2 14 0 1 0 0 3 0 2 71 1 1 0 1 0 6 99 99 0 1 1 0 0
"47" 2 18 0 1 0 0 2 0 2 49 1 0 1 1 1 4 0 99 0 1 1 0 0
"48" 2 6 0 1 0 1 1 0 3 67 0 1 0 1 0 2 1 99 1 1 1 1 1
"49" 2 19 0 1 0 0 1 0 2 34 0 0 1 1 1 2 1 99 1 1 1 1 1
"50" 2 24 0 1 0 0 1 0 1 43 1 0 1 1 1 2 1 99 1 1 1 1 1
"51" 2 11 0 1 0 0 3 0 1 66 1 0 1 1 0 6 1 99 1 1 1 1 1
"52" 2 20 0 1 0 0 2 0 3 36 1 0 1 1 1 4 1 99 1 1 1 1 1
"53" 2 18 0 1 0 0 3 0 3 82 1 0 1 1 0 6 1 99 1 1 1 1 1
"54" 2 11 0 1 0 0 3 0 3 76 1 0 1 1 1 6 1 99 1 1 1 1 1
"55" 2 26 0 1 0 0 2 0 1 58 1 0 1 1 0 4 99 99 0 1 1 0 0
"56" 2 24 0 1 0 0 1 0 1 49 1 0 1 1 0 2 99 99 0 1 1 0 0
"57" 2 22 0 1 0 0 3 0 3 50 1 0 1 1 1 6 0 99 0 1 1 0 0
"58" 2 23 0 1 0 0 1 0 3 54 0 0 0 1 0 2 99 99 0 1 1 0 0
"59" 2 26 0 1 0 0 1 0 1 72 0 0 1 1 0 2 1 99 1 1 1 1 1
"60" 2 13 0 1 0 0 2 0 1 19 0 0 0 1 0 4 99 99 0 1 1 0 0
"61" 2 11 0 1 0 1 2 1 1 38 1 1 0 1 0 4 1 99 1 1 1 1 1
"62" 2 14 0 1 0 0 3 0 3 35 1 0 1 1 1 6 99 99 0 1 1 0 0
"63" 2 14 0 1 0 0 2 0 2 34 1 0 1 1 1 4 1 99 1 1 1 1 1
"64" 2 9 0 1 0 0 3 0 1 29 1 0 1 1 1 6 99 99 0 1 1 0 0
"65" 2 9 0 1 0 0 2 0 3 26 1 1 0 1 0 4 0 99 0 1 1 0 0
"66" 2 25 0 1 0 0 3 0 3 32 1 1 0 1 1 6 99 99 0 1 1 0 0
"67" 2 11 0 1 0 0 2 0 1 70 1 0 1 1 0 4 1 99 1 1 1 1 1
"68" 2 26 0 1 0 0 1 0 3 35 1 0 0 1 1 2 99 99 0 1 1 0 0
"69" 2 24 0 1 0 1 2 0 1 27 0 0 0 1 0 4 0 99 0 1 1 0 0
"70" 2 18 0 1 0 0 2 0 3 60 0 0 1 1 0 4 1 99 1 1 1 1 1
"71" 2 5 0 1 0 0 1 0 3 19 1 1 0 1 1 2 1 99 1 1 1 1 1
"72" 2 26 0 1 1 0 1 0 2 48 1 0 1 1 1 3 0 1 1 0 1 0 1
"73" 2 19 0 1 0 0 2 0 2 37 1 0 1 1 1 4 1 99 1 1 1 1 1
"74" 2 27 0 1 0 0 3 0 2 69 1 0 1 1 1 6 99 99 0 1 1 0 0
"75" 2 20 0 1 0 0 3 0 2 66 1 0 1 1 1 6 1 99 1 1 1 1 1
"76" 2 19 0 1 0 0 3 0 1 71 1 0 1 1 1 6 99 99 0 1 1 0 0
"77" 2 21 0 1 0 0 3 0 3 48 1 0 0 1 1 6 1 99 1 1 1 1 1
"78" 2 8 0 1 0 0 3 0 1 58 1 0 1 1 1 6 99 99 0 1 1 0 0
"79" 2 8 0 1 0 0 3 0 2 57 1 0 1 1 0 6 99 99 0 1 1 0 0
"80" 2 22 0 1 0 1 3 1 2 32 1 0 0 1 0 6 99 99 0 1 1 0 0
"81" 2 21 0 1 0 0 3 0 2 44 1 0 0 1 0 6 0 99 0 1 1 0 0
"82" 2 3 0 1 0 0 1 0 3 39 1 0 0 1 0 2 0 99 0 1 1 0 0
"83" 2 28 0 1 0 0 2 0 1 38 1 0 0 1 1 4 99 99 0 1 1 0 0
"84" 2 24 0 1 0 0 2 0 2 40 0 0 0 1 0 4 99 99 0 1 1 0 0
"85" 2 21 0 1 1 0 2 0 3 68 1 0 1 1 0 5 99 99 0 1 1 0 0
"86" 2 6 0 1 0 0 1 0 3 37 1 0 1 1 1 2 99 99 0 1 1 0 0
"87" 2 11 0 1 0 0 2 0 2 75 0 0 1 1 1 4 1 99 1 1 1 1 1
"88" 2 9 0 1 0 0 3 0 2 30 1 1 0 1 0 6 0 99 0 1 1 0 0
"89" 2 2 0 1 0 0 2 0 1 66 1 1 0 1 0 4 1 99 1 1 1 1 1
"90" 2 29 0 1 0 0 1 0 3 42 0 0 1 1 0 2 1 99 1 1 1 1 1
"91" 2 4 0 1 1 0 1 0 1 34 1 0 0 1 0 3 0 99 0 0 1 0 0
"92" 2 17 0 1 0 0 3 0 3 44 1 0 1 1 1 6 99 99 0 1 1 0 0
"93" 2 13 0 1 0 1 1 0 1 43 0 0 1 1 0 2 1 99 1 1 1 1 1
"94" 2 17 0 1 0 0 3 0 3 75 1 0 0 1 0 6 1 99 1 1 1 1 1
"95" 2 13 0 1 0 1 3 0 3 48 1 0 1 1 1 6 99 99 0 1 1 0 0
"96" 2 17 0 1 0 0 2 0 3 42 1 0 1 1 1 4 1 99 1 1 1 1 1
"97" 2 2 0 1 0 1 2 0 2 21 1 0 0 1 0 4 0 99 0 1 1 0 0
"98" 2 6 0 1 0 0 1 0 3 67 1 1 0 1 0 2 1 99 1 1 1 1 1
"99" 2 18 0 1 0 1 2 1 2 49 1 0 1 1 1 4 1 99 1 1 1 1 1
"100" 2 20 0 1 1 0 2 0 2 53 1 0 1 1 1 5 0 0 0 1 1 0 0
"101" 2 13 0 1 1 0 3 0 2 75 1 0 1 1 1 6 99 99 0 1 1 0 0
"102" 2 20 0 1 0 0 1 0 3 24 0 0 1 1 1 2 99 99 0 1 1 0 0
"103" 2 13 0 1 0 1 1 0 1 29 1 0 1 1 0 2 1 99 1 1 1 1 1
"104" 2 26 0 1 0 0 2 0 3 58 1 0 1 1 1 4 99 99 0 1 1 0 0
"105" 2 18 0 1 0 0 3 0 1 82 1 0 1 1 0 6 99 99 0 1 1 0 0
"106" 2 21 0 1 0 0 2 0 3 52 1 0 0 1 0 4 99 99 0 1 1 0 0
"107" 2 26 0 1 0 0 2 0 2 39 1 0 1 1 1 4 99 99 0 1 1 0 0
"108" 2 14 0 1 0 0 3 0 3 47 1 0 0 1 0 6 0 99 0 1 1 0 0
"109" 2 14 0 1 0 0 1 0 1 41 1 0 0 1 0 2 99 99 0 1 1 0 0
"110" 2 25 0 1 0 0 2 0 3 54 1 0 1 1 1 4 1 99 1 1 1 1 1
"111" 2 23 0 1 0 0 1 0 1 51 1 0 1 1 1 2 1 99 1 1 1 1 1
"112" 2 19 0 1 0 0 1 0 3 30 1 0 1 1 1 2 0 99 0 1 1 0 0
"113" 2 15 0 1 1 0 2 0 3 49 1 0 1 1 1 5 0 1 1 1 1 1 1
"114" 2 3 0 1 1 0 1 0 1 51 1 0 0 1 1 3 99 99 0 0 1 0 0
"115" 2 10 0 1 0 0 2 0 2 27 0 0 1 1 0 4 99 99 0 1 1 0 0
"116" 2 27 0 1 0 0 2 0 3 67 1 1 0 1 0 4 1 99 1 1 1 1 1
"117" 2 19 0 1 0 0 3 0 1 68 0 1 0 1 0 6 1 99 1 1 1 1 1
"118" 2 21 0 1 1 0 2 0 3 33 1 0 0 1 1 5 0 99 0 1 1 0 0
"119" 2 12 0 1 1 0 2 0 3 38 1 0 0 1 1 5 0 99 0 1 1 0 0
"120" 2 5 0 1 0 1 3 0 3 37 1 1 0 1 0 6 99 99 0 1 1 0 0
"121" 2 8 0 1 0 0 3 0 2 53 1 0 1 1 1 6 99 99 0 1 1 0 0
"122" 2 27 0 1 0 1 2 1 1 44 0 0 1 1 1 4 99 99 0 1 1 0 0
"123" 2 25 0 1 0 1 2 1 1 81 1 0 1 1 0 4 1 99 1 1 1 1 1
"124" 2 13 0 1 0 0 1 0 2 75 1 0 1 1 0 2 99 99 0 1 1 0 0
"125" 2 18 0 1 1 0 1 0 1 36 1 0 1 1 1 3 1 0 1 0 1 0 1
"126" 2 3 0 1 0 0 1 0 1 71 1 0 1 1 1 2 1 99 1 1 1 1 1
"127" 2 5 0 1 0 0 3 0 1 28 1 0 1 1 0 6 99 99 0 1 1 0 0
"128" 2 11 0 1 1 0 2 0 1 26 1 0 0 1 0 5 99 99 0 1 1 0 0
"129" 2 9 0 1 1 0 2 0 1 70 1 1 0 1 0 5 0 99 0 1 1 0 0
"130" 2 16 0 1 1 0 2 0 1 34 1 1 0 1 0 5 99 99 0 1 1 0 0
"131" 2 10 0 1 0 0 1 0 3 32 0 0 1 1 0 2 1 99 1 1 1 1 1
"132" 2 3 0 1 0 0 2 0 2 57 1 0 1 1 1 4 99 99 0 1 1 0 0
"133" 2 6 0 1 0 0 2 0 2 47 1 0 1 1 0 4 99 99 0 1 1 0 0
"134" 2 20 0 1 0 0 3 0 1 36 1 1 0 1 0 6 0 99 0 1 1 0 0
"135" 2 20 0 1 0 0 3 0 2 45 1 0 1 1 1 6 99 99 0 1 1 0 0
"136" 2 28 0 1 0 0 1 0 1 46 1 0 1 1 0 2 1 99 1 1 1 1 1
"137" 2 28 0 1 0 0 3 0 3 47 1 0 1 1 1 6 99 99 0 1 1 0 0
"138" 2 28 0 1 0 0 1 0 2 50 1 0 1 1 1 2 1 99 1 1 1 1 1
"139" 2 12 0 1 1 0 3 0 3 48 1 0 1 1 1 6 0 1 1 1 1 1 1
"140" 2 7 0 1 0 0 2 0 1 28 0 0 1 1 1 4 0 99 0 1 1 0 0
"141" 2 20 0 1 0 0 1 0 2 73 1 0 1 1 1 2 1 99 1 1 1 1 1
"142" 2 26 0 1 0 0 2 0 1 50 0 0 1 1 1 4 1 99 1 1 1 1 1
"143" 2 6 0 1 0 0 3 0 3 42 0 1 0 1 0 6 0 99 0 1 1 0 0
"144" 2 21 0 1 0 0 2 0 1 72 1 0 1 1 0 4 1 99 1 1 1 1 1
"145" 2 29 0 1 0 0 3 0 1 35 1 0 0 1 0 6 0 99 0 1 1 0 0
"146" 2 11 0 1 0 0 2 0 3 83 0 0 1 1 1 4 1 99 1 1 1 1 1
"147" 2 10 0 1 0 1 2 0 2 55 1 0 1 1 1 4 99 99 0 1 1 0 0
"148" 2 9 0 1 0 0 3 0 1 44 1 0 1 1 1 6 1 99 1 1 1 1 1
"149" 2 18 0 1 0 0 2 0 3 50 0 0 1 1 1 4 1 99 1 1 1 1 1
"150" 2 18 0 1 0 1 1 0 3 83 1 0 1 1 1 2 99 99 0 1 1 0 0
"151" 2 28 0 1 0 0 3 0 1 18 0 0 0 1 0 6 99 99 0 1 1 0 0
"152" 2 5 0 1 0 0 2 0 3 39 1 0 1 1 1 4 1 99 1 1 1 1 1
"153" 2 26 0 1 0 0 3 0 2 43 1 0 1 1 1 6 99 99 0 1 1 0 0
"154" 2 20 0 1 0 0 3 0 2 40 0 1 0 1 0 6 0 99 0 1 1 0 0
"155" 2 9 0 1 1 0 1 0 1 41 1 0 1 1 1 3 0 0 0 0 1 0 0
"156" 2 2 0 1 0 1 2 0 1 22 1 0 1 1 0 4 0 99 0 1 1 0 0
"157" 2 13 0 1 0 0 3 0 1 61 1 0 1 1 1 6 1 99 1 1 1 1 1
"158" 2 21 0 1 0 0 2 0 1 86 1 0 1 1 0 4 1 99 1 1 1 1 1
"159" 2 6 0 1 0 0 3 0 1 55 1 0 1 1 0 6 1 99 1 1 1 1 1
"160" 2 4 0 1 0 0 1 0 2 52 1 1 0 1 1 2 1 99 1 1 1 1 1
"161" 2 17 0 1 0 0 2 0 2 61 1 1 0 1 0 4 99 99 0 1 1 0 0
"162" 2 22 0 1 0 0 3 0 3 29 1 1 0 1 0 6 1 99 1 1 1 1 1
"163" 2 9 0 1 1 0 3 0 2 51 1 1 0 1 0 6 1 0 1 1 1 1 1
"164" 2 9 0 1 0 0 2 0 2 67 1 1 0 1 1 4 1 99 1 1 1 1 1
"165" 2 26 0 1 0 0 1 0 1 43 1 0 1 1 1 2 1 99 1 1 1 1 1
"166" 2 26 0 1 0 0 3 0 2 80 1 0 1 1 1 6 1 99 1 1 1 1 1
"167" 2 29 0 1 0 0 3 0 3 54 1 0 1 1 1 6 99 99 0 1 1 0 0
"168" 2 15 0 1 0 0 3 0 2 68 1 0 1 1 0 6 1 99 1 1 1 1 1
"169" 2 29 0 1 0 1 1 0 3 69 1 0 1 1 1 2 1 99 1 1 1 1 1
"170" 2 9 0 1 0 0 2 0 2 35 1 1 0 1 0 4 99 99 0 1 1 0 0
"171" 2 25 0 1 0 0 2 0 1 50 1 0 0 1 1 4 99 99 0 1 1 0 0
"172" 2 16 0 1 1 0 3 0 1 43 0 0 1 1 1 6 99 1 1 1 1 1 1
"173" 2 12 0 1 0 0 2 0 2 36 0 0 0 1 1 4 0 99 0 1 1 0 0
"174" 2 10 0 1 0 1 3 1 3 69 0 0 1 1 0 6 1 99 1 1 1 1 1
"175" 2 2 0 1 0 0 1 0 2 64 1 0 1 1 0 2 99 99 0 1 1 0 0
"176" 2 13 0 1 0 1 1 0 2 36 1 0 1 1 0 2 99 99 0 1 1 0 0
"177" 2 28 0 1 0 0 2 0 2 26 1 0 0 1 1 4 1 99 1 1 1 1 1
"178" 2 24 0 1 0 1 2 0 2 38 0 0 0 1 0 4 99 99 0 1 1 0 0
"179" 2 20 0 1 0 0 1 0 2 35 1 0 1 1 1 2 1 99 1 1 1 1 1
"180" 2 22 0 1 0 0 1 0 1 71 1 0 0 1 0 2 99 99 0 1 1 0 0
"181" 2 30 0 1 1 1 3 0 2 46 1 0 1 1 0 6 0 1 1 1 1 1 1
"182" 2 10 0 1 0 1 2 0 2 38 1 0 1 1 1 4 1 99 1 1 1 1 1
"183" 2 26 0 1 0 0 1 0 3 49 1 0 1 1 1 2 1 99 1 1 1 1 1
"184" 2 10 0 1 0 0 2 0 1 48 0 0 1 1 0 4 99 99 0 1 1 0 0
"185" 2 26 0 1 0 0 2 0 1 40 1 0 1 1 1 4 1 99 1 1 1 1 1
"186" 2 28 0 1 0 1 2 0 2 48 1 0 1 1 1 4 99 99 0 1 1 0 0
"187" 2 13 0 1 0 0 1 0 3 41 1 1 0 1 0 2 99 99 0 1 1 0 0
"188" 2 10 0 1 0 0 3 0 2 63 1 0 1 1 1 6 1 99 1 1 1 1 1
"189" 2 28 0 1 1 0 2 0 3 63 1 0 1 1 1 5 1 0 1 1 1 1 1
"190" 2 19 0 1 0 1 1 0 2 42 0 0 1 1 1 2 99 99 0 1 1 0 0
"191" 2 26 0 1 0 0 3 0 1 50 1 0 1 1 1 6 99 99 0 1 1 0 0
"192" 2 5 0 1 0 0 3 0 1 63 1 0 1 1 1 6 1 99 1 1 1 1 1
"193" 2 28 0 1 1 0 2 0 2 39 0 0 1 1 1 5 0 1 1 1 1 1 1
"194" 2 27 0 1 0 0 1 0 2 31 1 0 1 1 1 2 0 99 0 1 1 0 0
"195" 2 27 0 1 0 0 1 0 3 40 0 0 1 1 1 2 1 99 1 1 1 1 1
"196" 2 4 0 1 0 0 3 0 2 33 1 1 0 1 0 6 1 99 1 1 1 1 1
"197" 2 8 0 1 0 0 2 0 1 43 1 0 1 1 1 4 99 99 0 1 1 0 0
"198" 2 20 0 1 0 1 2 1 2 34 1 0 1 1 1 4 99 99 0 1 1 0 0
"199" 2 3 0 1 0 0 2 0 3 43 1 1 0 1 0 4 1 99 1 1 1 1 1
"200" 2 15 0 1 0 1 1 1 1 33 1 0 1 1 1 2 99 99 0 1 1 0 0
"201" 2 25 0 1 0 0 1 0 3 49 1 0 1 1 1 2 99 99 0 1 1 0 0
"202" 2 10 0 1 0 0 3 0 3 38 0 0 0 1 0 6 99 99 0 1 1 0 0
"203" 2 26 0 1 0 0 1 0 3 63 1 0 1 1 1 2 99 99 0 1 1 0 0
"204" 2 25 0 1 0 0 1 0 1 48 1 1 0 1 1 2 99 99 0 1 1 0 0
"205" 2 28 0 1 0 0 2 0 1 53 1 0 1 1 1 4 0 99 0 1 1 0 0
"206" 2 9 0 1 0 0 1 0 1 85 0 1 0 1 0 2 99 99 0 1 1 0 0
"207" 2 16 0 1 0 1 1 0 2 28 1 0 0 1 1 2 99 99 0 1 1 0 0
"208" 2 25 0 1 0 0 3 0 1 54 1 0 1 1 1 6 99 99 0 1 1 0 0
"209" 2 24 0 1 1 0 1 0 2 29 1 0 0 1 0 3 99 99 0 0 1 0 0
"210" 2 22 0 1 1 1 2 0 3 28 0 0 1 1 0 5 0 1 1 1 1 1 1
"211" 2 15 0 1 0 0 1 0 1 55 1 0 1 1 1 2 99 99 0 1 1 0 0
"212" 2 27 0 1 0 1 2 1 1 57 0 1 0 1 1 4 99 99 0 1 1 0 0
"213" 2 10 0 1 0 0 1 0 3 76 1 0 1 1 1 2 99 99 0 1 1 0 0
"214" 2 15 0 1 0 0 2 0 3 34 1 0 0 1 0 4 99 99 0 1 1 0 0
"215" 2 10 0 1 0 0 3 0 3 29 1 0 1 1 0 6 99 99 0 1 1 0 0
"216" 2 2 0 1 0 0 2 0 2 67 1 0 0 1 1 4 1 99 1 1 1 1 1
"217" 2 18 0 1 0 1 1 0 2 73 1 0 1 1 1 2 1 99 1 1 1 1 1
"218" 2 16 0 1 0 0 3 0 1 63 0 0 1 1 0 6 99 99 0 1 1 0 0
"219" 2 15 0 1 0 0 2 0 3 66 0 0 0 1 0 4 99 99 0 1 1 0 0
"220" 2 14 0 1 1 0 3 0 3 62 1 1 0 1 1 6 1 0 1 1 1 1 1
"221" 2 27 0 1 0 0 3 0 1 75 1 0 1 1 0 6 99 99 0 1 1 0 0
"222" 2 10 0 1 0 0 3 0 3 34 0 1 0 1 0 6 1 99 1 1 1 1 1
"223" 2 8 0 1 0 1 3 0 3 38 1 0 1 1 1 6 0 99 0 1 1 0 0
"224" 2 4 0 1 0 0 3 0 2 18 0 1 0 1 0 6 99 99 0 1 1 0 0
"225" 2 18 0 1 0 1 1 1 3 71 1 0 1 1 1 2 99 99 0 1 1 0 0
"226" 2 17 0 1 0 0 3 0 2 69 1 0 1 1 1 6 1 99 1 1 1 1 1
"227" 2 10 0 1 0 0 3 0 1 32 1 1 0 1 0 6 99 99 0 1 1 0 0
"228" 2 15 0 1 0 0 1 0 3 36 1 0 1 1 0 2 0 99 0 1 1 0 0
"229" 2 18 0 1 0 0 3 0 1 36 1 0 1 1 1 6 0 99 0 1 1 0 0
"230" 2 5 0 1 1 0 3 0 2 33 0 1 0 1 0 6 1 99 1 1 1 1 1
"231" 2 6 0 1 0 0 3 0 2 29 1 1 0 1 0 6 99 99 0 1 1 0 0
"232" 2 28 0 1 0 0 2 0 2 52 1 0 1 1 1 4 1 99 1 1 1 1 1
"233" 2 22 0 1 0 0 3 0 3 44 1 0 1 1 0 6 99 99 0 1 1 0 0
"234" 2 18 0 1 0 0 3 0 2 43 0 1 0 1 0 6 99 99 0 1 1 0 0
"235" 2 5 0 1 0 0 3 0 1 44 1 0 1 1 1 6 99 99 0 1 1 0 0
"236" 2 24 0 1 0 0 1 0 1 25 0 1 0 1 0 2 99 99 0 1 1 0 0
"237" 2 27 0 1 0 0 2 0 1 34 0 1 0 1 1 4 1 99 1 1 1 1 1
"238" 2 23 0 1 1 0 1 0 2 51 1 0 1 1 1 3 99 99 0 0 1 0 0
"239" 2 4 0 1 0 0 2 0 3 65 1 0 0 1 0 4 99 99 0 1 1 0 0
"240" 2 17 0 1 0 0 1 0 3 26 0 1 0 1 0 2 1 99 1 1 1 1 1
"241" 2 17 0 1 0 1 1 0 3 45 1 0 1 1 0 2 1 99 1 1 1 1 1
"242" 2 18 0 1 0 0 2 0 1 36 1 0 0 1 1 4 99 99 0 1 1 0 0
"243" 2 11 0 1 0 0 3 0 3 78 1 1 0 1 1 6 1 99 1 1 1 1 1
"244" 2 13 0 1 0 0 1 0 3 70 1 0 1 1 0 2 1 99 1 1 1 1 1
"245" 2 27 0 1 0 0 2 0 3 84 1 0 1 1 1 4 1 99 1 1 1 1 1
"246" 2 18 0 1 0 0 1 0 2 66 1 0 1 1 1 2 1 99 1 1 1 1 1
"247" 2 20 0 1 0 1 2 0 1 57 1 1 0 1 0 4 99 99 0 1 1 0 0
"248" 2 22 0 1 0 0 3 0 2 20 0 1 0 1 0 6 0 99 0 1 1 0 0
"249" 2 30 0 1 0 1 1 0 3 42 0 0 1 1 0 2 99 99 0 1 1 0 0
"250" 2 27 0 1 0 0 2 0 2 84 0 0 1 1 0 4 1 99 1 1 1 1 1
"251" 2 28 0 1 0 0 3 0 1 52 1 0 1 1 1 6 1 99 1 1 1 1 1
"252" 2 26 0 1 1 0 1 0 1 57 1 0 1 1 1 3 99 99 0 0 1 0 0
"253" 2 14 0 1 0 0 3 0 2 36 1 0 1 1 0 6 0 99 0 1 1 0 0
"254" 2 12 0 1 0 0 3 0 1 78 1 0 1 1 1 6 1 99 1 1 1 1 1
"255" 2 24 0 1 0 0 3 0 2 42 0 0 1 1 0 6 0 99 0 1 1 0 0
"256" 2 5 0 1 0 0 2 0 1 72 1 0 0 1 0 4 99 99 0 1 1 0 0
"257" 2 9 0 1 0 0 1 0 3 35 0 0 1 1 1 2 0 99 0 1 1 0 0
"258" 2 4 0 1 0 0 2 0 2 75 1 0 1 1 0 4 1 99 1 1 1 1 1
"259" 2 25 0 1 0 0 2 0 3 42 1 0 1 1 1 4 1 99 1 1 1 1 1
"260" 2 4 0 1 1 0 2 0 3 41 0 0 0 1 0 5 99 99 0 1 1 0 0
"261" 2 23 0 1 0 0 2 0 3 59 1 1 0 1 0 4 1 99 1 1 1 1 1
"262" 2 17 0 1 0 0 1 0 1 46 0 0 1 1 1 2 1 99 1 1 1 1 1
"263" 2 15 0 1 0 0 2 0 3 31 1 1 0 1 0 4 99 99 0 1 1 0 0
"264" 2 18 0 1 0 0 3 0 1 74 0 0 1 1 1 6 99 99 0 1 1 0 0
"265" 2 26 0 1 0 0 2 0 2 52 1 0 0 1 0 4 99 99 0 1 1 0 0
"266" 2 24 0 1 0 0 2 0 2 35 1 0 1 1 1 4 99 99 0 1 1 0 0
"267" 2 20 0 1 0 0 1 0 1 74 1 1 0 1 1 2 1 99 1 1 1 1 1
"268" 2 3 0 1 0 0 1 0 3 58 0 1 0 1 0 2 1 99 1 1 1 1 1
"269" 2 15 0 1 0 0 1 0 2 54 1 0 1 1 1 2 99 99 0 1 1 0 0
"270" 2 24 0 1 0 0 3 0 2 58 1 0 1 1 0 6 99 99 0 1 1 0 0
"271" 2 21 0 1 1 0 1 0 2 51 1 0 0 1 0 3 1 0 1 0 1 0 1
"272" 2 24 0 1 0 0 1 0 2 42 1 0 1 1 1 2 99 99 0 1 1 0 0
"273" 2 23 0 1 0 1 3 0 3 24 1 0 0 1 0 6 99 99 0 1 1 0 0
"274" 2 20 0 1 0 0 3 0 3 50 1 0 1 1 1 6 1 99 1 1 1 1 1
